"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4330101090900","X4","33","2009-01-01T09:00:00.000",,"71","V","HO"
"X4340101090900","X4","34","2009-01-01T09:00:00.000",,"1016","V","HO"
"X4350101090900","X4","35","2009-01-01T09:00:00.000",,"0","V","HO"
"X4510101090900","X4","51","2009-01-01T09:00:00.000",,"339","V","HO"
"X4400101090900","X4","40","2009-01-01T09:00:00.000","2009-01-01T09:58:00.000","11.7","V","HO"
"X4420101090900","X4","42","2009-01-01T09:00:00.000","2009-01-01T09:03:00.000","10.6","V","HO"
"X4440101090900","X4","44","2009-01-01T09:00:00.000","2009-01-01T09:58:00.000","68","V","HO"
"X4500101090900","X4","50","2009-01-01T09:00:00.000","2009-01-01T09:25:00.000","3.2","V","HO"
"X4360101090900","X4","36","2009-01-01T09:00:00.000",,"128","V","HO"
"X4320101091000","X4","32","2009-01-01T10:00:00.000",,"12.4","V","HO"
"X4330101091000","X4","33","2009-01-01T10:00:00.000",,"66","V","HO"
"X4340101091000","X4","34","2009-01-01T10:00:00.000",,"1016","V","HO"
"X4350101091000","X4","35","2009-01-01T10:00:00.000",,"0","V","HO"
"X4510101091000","X4","51","2009-01-01T10:00:00.000",,"13","V","HO"
"X4400101091000","X4","40","2009-01-01T10:00:00.000","2009-01-01T10:58:00.000","12.9","V","HO"
"X4420101091000","X4","42","2009-01-01T10:00:00.000","2009-01-01T10:00:00.000","11.7","V","HO"
"X4440101091000","X4","44","2009-01-01T10:00:00.000","2009-01-01T10:31:00.000","65","V","HO"
"X4500101091000","X4","50","2009-01-01T10:00:00.000","2009-01-01T10:35:00.000","4.3","V","HO"
"X4360101091000","X4","36","2009-01-01T10:00:00.000",,"246","V","HO"
"X4400101091100","X4","40","2009-01-01T11:00:00.000","2009-01-01T11:57:00.000","14.1","V","HO"
"X4420101091100","X4","42","2009-01-01T11:00:00.000","2009-01-01T11:00:00.000","13","V","HO"
"X4440101091100","X4","44","2009-01-01T11:00:00.000","2009-01-01T11:42:00.000","62","V","HO"
"X4500101091100","X4","50","2009-01-01T11:00:00.000","2009-01-01T11:38:00.000","2.8","V","HO"
"X4510101091100","X4","51","2009-01-01T11:00:00.000",,"70","V","HO"
"X4350101091100","X4","35","2009-01-01T11:00:00.000",,"0","V","HO"
"X4340101091100","X4","34","2009-01-01T11:00:00.000",,"1016","V","HO"
"X4330101091100","X4","33","2009-01-01T11:00:00.000",,"63","V","HO"
"X4320101091100","X4","32","2009-01-01T11:00:00.000",,"13.8","V","HO"
"X4360101091100","X4","36","2009-01-01T11:00:00.000",,"317","V","HO"
"X4320101091200","X4","32","2009-01-01T12:00:00.000",,"14.2","V","HO"
"X4330101091200","X4","33","2009-01-01T12:00:00.000",,"64","V","HO"
"X4340101091200","X4","34","2009-01-01T12:00:00.000",,"1015","V","HO"
"X4350101091200","X4","35","2009-01-01T12:00:00.000",,"0","V","HO"
"X4510101091200","X4","51","2009-01-01T12:00:00.000",,"91","V","HO"
